time;latitude;longitude;depth;mag;dmin;rms;place
2015-10-07T00:29:32.100Z;44.6175;-128.8087;10.0;3.9;3.5;1.10;Off the coast of Oregon
2015-10-07T00:45:35.640Z;36.9781;-97.9781;5.5;2.8;0.0;0.71;20km SSE of Anthony, Kansas
2015-10-07T01:08:26.400Z;18.8890;-64.2565;34.0;2.6;0.2;0.09;64km NE of Road Town, British Virgin Islands
2015-10-07T01:21:26.440Z;-0.8148;97.5133;25.9;4.3;2.1;1.28;168km WNW of Sikabaluan, Indonesia
2015-10-07T01:27:35.000Z;51.3565;-174.4298;3.9;2.6;;0.57;94km S of Atka, Alaska
2015-10-07T01:47:52.530Z;-2.5720;140.3557;24.3;4.3;0.4;0.80;26km WNW of Abepura, Indonesia
2015-10-07T02:12:25.230Z;-30.3816;-72.0691;12.7;4.2;0.5;0.59;84km SW of Coquimbo, Chile
2015-10-07T02:24:26.100Z;53.2459;-160.5067;10.0;3.3;2.1;0.69;182km SSW of Chernabura Island, Alaska
2015-10-07T02:30:21.560Z;-3.9320;-104.1362;10.0;5.4;14.2;1.25;Central East Pacific Rise
2015-10-07T02:47:54.250Z;4.6925;95.6509;76.6;4.3;1.4;1.36;81km NW of Meulaboh, Indonesia
2015-10-07T02:49:31.560Z;-4.0507;-104.3905;10.0;4.5;23.1;1.21;Central East Pacific Rise
2015-10-07T03:01:17.550Z;33.8813;136.3087;384.7;4.6;1.6;0.46;22km SSE of Owase, Japan
2015-10-07T03:02:10.850Z;-30.8207;-71.4446;40.6;4.5;0.2;0.43;33km SW of Ovalle, Chile
2015-10-07T03:09:31.100Z;18.2700;-65.3655;20.0;2.8;0.1;0.07;7km WSW of Culebra, Puerto Rico
2015-10-07T03:17:04.470Z;-18.2320;-178.1089;583.4;4.3;3.7;0.51;274km NNE of Ndoi Island, Fiji
2015-10-07T03:29:47.637Z;62.2449;-153.3912;2.1;3.3;;0.72;138km SE of McGrath, Alaska
2015-10-07T03:31:55.100Z;18.6940;-65.1408;62.0;2.5;0.4;0.07;44km NNW of Charlotte Amalie, U.S. Virgin Islands
2015-10-07T03:38:46.000Z;52.4675;-168.6363;51.9;2.9;;0.48;54km SSE of Nikolski, Alaska
2015-10-07T03:49:32.240Z;-33.2387;-177.7794;10.0;4.7;5.4;0.94;226km SSE of L'Esperance Rock, New Zealand
2015-10-07T03:50:33.440Z;-30.2705;-177.8803;27.6;5.0;1.0;0.58;111km S of Raoul Island, New Zealand
2015-10-07T03:58:24.290Z;-5.4741;151.8439;60.5;4.7;1.3;0.60;132km SSW of Kokopo, Papua New Guinea
2015-10-07T04:06:10.790Z;-1.0213;120.7043;63.5;4.3;2.1;0.93;41km N of Poso, Indonesia
2015-10-07T04:07:29.263Z;55.7527;-157.0136;26.7;3.3;;0.62;87km W of Chirikof Island, Alaska
2015-10-07T04:08:33.000Z;52.3965;-169.2353;20.5;3.1;;1.01;65km SSW of Nikolski, Alaska
2015-10-07T04:16:47.450Z;44.0575;146.9931;45.8;4.3;3.2;0.71;35km NE of Shikotan, Russia
2015-10-07T04:36:10.800Z;36.3193;-97.5501;1.3;2.9;;0.46;23km W of Perry, Oklahoma
2015-10-07T04:45:54.960Z;-30.3764;-72.1749;11.9;4.1;0.6;0.70;92km WSW of Coquimbo, Chile
2015-10-07T04:51:54.880Z;-17.6399;167.3593;21.2;4.4;2.2;0.44;102km W of Port-Vila, Vanuatu
2015-10-07T04:58:08.000Z;52.0306;-175.6391;193.6;2.7;;0.25;72km ENE of Adak, Alaska
2015-10-07T04:58:20.550Z;27.8771;84.8817;34.7;4.2;0.4;0.89;44km WNW of Kirtipur, Nepal
2015-10-07T05:00:27.000Z;51.7192;178.5434;95.9;3.0;;0.29;25km S of Little Sitkin Island, Alaska
2015-10-07T05:54:45.000Z;52.5413;-169.2362;41.5;3.0;;0.61;50km SSW of Nikolski, Alaska
2015-10-07T05:59:13.080Z;-17.7468;-69.7891;127.9;4.8;0.8;1.26;39km SE of Tarata, Peru
2015-10-07T06:10:32.000Z;51.8551;-171.4295;25.6;3.3;;0.73;71km S of Amukta Island, Alaska
2015-10-07T06:11:46.173Z;51.7027;-179.1278;8.8;2.5;;0.55;49km N of Amatignak Island, Alaska
2015-10-07T06:25:40.000Z;52.0940;-170.4146;68.1;2.7;;0.72;62km SSE of Yunaska Island, Alaska
2015-10-07T06:41:36.710Z;16.2342;-98.2004;17.8;4.3;0.2;1.34;21km WSW of Santiago Pinotepa Nacional, Mexico
2015-10-07T06:53:37.000Z;-10.7848;165.6260;37.4;4.6;4.9;0.70;23km WSW of Lata, Solomon Islands
2015-10-07T07:07:20.930Z;-21.4172;-66.8022;231.2;4.4;2.0;1.01;79km SW of Atocha, Bolivia
2015-10-07T07:29:02.400Z;-30.3022;-72.1414;10.2;4.2;0.6;1.17;86km WSW of Coquimbo, Chile
