time;latitude;longitude;depth;mag;dmin;rms;place
2015-10-07T07:37:21.950Z;-31.4650;-176.9100;33.9;4.7;2.4;1.16;189km E of L'Esperance Rock, New Zealand
2015-10-07T08:00:39.980Z;-30.2971;-71.3616;8.7;4.8;0.4;1.41;36km NNW of Ovalle, Chile
2015-10-07T08:01:57.010Z;36.8064;70.5999;316.6;4.4;0.3;0.58;21km WSW of Jarm, Afghanistan
2015-10-07T09:08:37.220Z;14.5770;-94.5473;10.0;4.1;2.8;1.02;176km SSW of Paredon, Mexico
2015-10-07T09:13:57.400Z;36.3343;-97.8126;7.3;2.8;;0.49;9km SE of Enid, Oklahoma
2015-10-07T09:25:02.050Z;45.6574;26.8586;129.7;4.4;0.2;0.81;9km W of Poiana Cristei, Romania
2015-10-07T10:01:23.637Z;54.9950;-157.9813;33.5;2.7;;0.36;103km ENE of Chernabura Island, Alaska
2015-10-07T10:15:13.800Z;24.8300;122.1300;6.9;4.1;;1.68;38km ENE of Yilan, Taiwan
2015-10-07T10:16:43.060Z;-18.4495;-173.5634;35.0;4.6;4.8;0.50;49km ENE of Neiafu, Tonga
2015-10-07T10:32:32.490Z;26.3490;140.4479;384.5;4.3;1.7;0.62;193km WSW of Chichi-shima, Japan
2015-10-07T11:48:35.700Z;36.1182;-97.3038;6.0;3.0;;0.48;19km S of Perry, Oklahoma
2015-10-07T12:02:28.579Z;59.9864;-152.5774;81.9;2.5;;0.62;47km WNW of Anchor Point, Alaska
2015-10-07T12:34:36.930Z;-31.4877;-71.7728;23.8;4.5;0.8;0.67;59km WNW of Illapel, Chile
2015-10-07T13:01:16.519Z;59.2653;-150.5060;15.0;2.5;;0.47;68km SE of Fritz Creek, Alaska
2015-10-07T13:06:42.110Z;-31.8261;-72.4314;10.0;4.2;1.3;0.57;121km W of Illapel, Chile
2015-10-07T13:28:51.470Z;32.3435;-115.2550;15.4;3.4;0.1;0.32;6km WSW of Delta, B.C., MX
2015-10-07T13:39:54.200Z;36.8424;-97.7893;3.1;2.5;;0.42;6km NW of Medford, Oklahoma
2015-10-07T14:18:54.500Z;18.9104;-64.3107;18.0;2.5;0.2;0.20;63km NNE of Road Town, British Virgin Islands
2015-10-07T14:27:39.263Z;61.5692;-141.0812;13.3;2.7;;0.71;178km E of Chitina, Alaska
2015-10-07T14:33:12.140Z;33.2336;138.1110;324.2;4.1;2.3;0.52;151km S of Oyama, Japan
2015-10-07T14:35:47.480Z;6.8568;-73.0240;146.9;4.1;1.0;0.63;14km S of Piedecuesta, Colombia
2015-10-07T14:37:42.000Z;12.3300;123.7300;11.0;4.6;;0.37;4km N of Marintoc, Philippines
2015-10-07T14:48:47.227Z;41.8784;-119.6339;9.3;2.7;0.1;0.13;68km ESE of Lakeview, Oregon
2015-10-07T15:03:20.700Z;35.4650;-97.0275;5.9;2.5;;0.64;6km ENE of McLoud, Oklahoma
2015-10-07T15:12:32.064Z;63.0643;-150.6439;110.5;3.5;;0.55;86km NNW of Talkeetna, Alaska
2015-10-07T15:20:45.500Z;36.3964;-97.2895;3.3;2.9;;0.55;11km N of Perry, Oklahoma
2015-10-07T16:13:25.910Z;-22.4715;179.4028;564.9;4.1;4.9;1.14;281km SW of Ndoi Island, Fiji
2015-10-07T18:21:36.560Z;27.2026;53.3863;10.0;4.1;3.4;1.07;90km SW of Gerash, Iran
2015-10-07T18:34:52.000Z;51.8081;178.3598;109.8;2.5;;0.15;18km SSW of Little Sitkin Island, Alaska
2015-10-07T19:24:50.890Z;-2.8781;126.2039;42.4;4.6;3.8;0.77;34km NW of Airbuaya, Indonesia
2015-10-07T19:26:00.000Z;51.3450;-175.4063;25.5;2.5;;0.27;105km SE of Adak, Alaska
2015-10-07T19:35:16.990Z;-30.8102;-71.4315;39.1;4.5;0.2;0.74;32km SW of Ovalle, Chile
2015-10-07T20:30:12.490Z;-17.1882;121.8921;10.0;4.5;3.7;0.87;93km NNW of Broome, Australia
2015-10-07T21:01:58.400Z;19.6655;-64.3407;44.0;3.2;0.9;0.17;141km NNE of Road Town, British Virgin Islands
2015-10-07T21:30:18.800Z;36.2636;-97.4711;10.9;2.5;;0.53;16km W of Perry, Oklahoma
2015-10-07T22:14:27.000Z;-21.9700;-69.9280;50.4;3.9;;0.53;30km ENE of Tocopilla, Chile
2015-10-07T22:38:59.400Z;36.3656;-97.4514;7.6;3.0;;0.53;16km WNW of Perry, Oklahoma
2015-10-07T22:48:32.390Z;63.1566;-150.5678;115.6;3.0;;0.50;85km WSW of Cantwell, Alaska
2015-10-07T23:43:11.230Z;-31.6195;-72.3947;10.0;4.1;1.1;0.95;116km W of Illapel, Chile
2015-10-07T23:43:23.160Z;52.2555;-168.4638;9.3;5.1;0.8;1.16;80km SSE of Nikolski, Alaska
2015-10-07T23:52:52.600Z;36.3465;-96.7870;3.6;2.8;;0.64;1km ENE of Pawnee, Oklahoma
