DHL2,33.393286,-115.78967,-82,6/1/2005,12/31/2599
GLRS,33.274812,-115.521373,-48.6,4/28/2015,12/31/2599
GUAX,28.884059,-118.289684,84.1,6/19/2016,12/31/2599
GVS1,34.175933,-118.220877,302.5,6/1/2005,5/20/2015
P001,31.94938,-112.8017,475,11/10/2016,12/31/2599
P176,37.471774,-122.357142,433.8,4/28/2015,12/31/2599
P181,37.914546,-122.376758,72.2,4/28/2015,12/31/2599
P197,38.428562,-122.767388,0,4/28/2015,12/31/2599
P198,38.259875,-122.607452,-4.6,4/28/2015,12/31/2599
P199,38.263693,-122.503441,55.7,4/28/2015,12/31/2599
P201,38.559807,-122.658436,349.4,4/28/2015,12/31/2599
P223,37.722055,-122.099781,140,4/28/2015,12/31/2599
P224,37.863897,-122.219062,407.4,4/28/2015,12/31/2599
P248,37.975609,-121.868699,229.8,4/28/2015,12/31/2599
P262,38.025149,-122.096146,-8.5,4/28/2015,12/31/2599
P482,33.24018,-116.671415,878.7,4/28/2015,12/31/2599
P483,33.059165,-116.569328,1375.6,4/28/2015,12/31/2599
P484,33.375593,-116.62084,1382.5,4/28/2015,12/31/2599
P486,33.260192,-116.322288,126.3,4/28/2015,12/31/2599
P494,32.759655,-115.732068,-44.3,4/28/2015,12/31/2599
P505,33.423874,-115.687,-57.8,4/28/2015,12/31/2599
P506,33.08143,-115.510199,-83.4,4/28/2015,12/31/2599
P797,33.537294,-116.592527,1403.8,4/28/2015,12/31/2599
PIN2,33.612149,-116.457621,1258.4,4/28/2015,12/31/2599
PMOB,33.357241,-116.859549,1662.5,4/28/2015,12/31/2599
POTR,32.618412,-116.590866,730.3,4/28/2015,12/31/2599
RAAP,33.042236,-116.917251,395,4/28/2015,12/31/2599
SCS1,33.247446,-115.943973,-39.8,10/1/2006,12/31/2599
SCS2,33.245108,-115.941786,-40.2,10/1/2006,12/31/2599
SIO5,32.840736,-117.249692,185.5,4/28/2015,12/31/2599
SLMS,33.292228,-115.977843,-45.9,4/28/2015,12/31/2599
USGC,33.030065,-116.085337,133.5,4/28/2015,12/31/2599
