KTH.BHZ.AK.--,63.5527,-150.9233,1172.00,-0.39135165,-0.21761513,0.89414067,802
RDOG.BHZ.AK.--,68.0541,-162.9080,421.00,-0.35930199,-0.11048081,0.92665855,1416
BWN.BHZ.AK.--,64.1732,-149.2991,356.00,-0.37664329,-0.22364242,0.89895712,6017
HDA.BHZ.AK.--,64.4095,-146.9477,427.00,-0.36402680,-0.23687447,0.90076355,692
SAW.BHZ.AK.--,61.8070,-148.3316,781.00,-0.40420602,-0.24933487,0.88002819,814
MDM.BHZ.AK.--,64.9602,-148.2319,631.00,-0.36183489,-0.22406833,0.90491375,600
WRH.BHZ.AK.--,64.4715,-148.0916,343.00,-0.36785194,-0.22904250,0.90123498,758
RND.BHZ.AK.--,63.4056,-148.8602,993.60,-0.38523530,-0.23275392,0.89298341,666
TRF.BHZ.AK.--,63.4502,-150.2893,1711.90,-0.39031405,-0.22272782,0.89333491,711
KLU.BHZ.AK.--,61.4924,-145.9227,1047.10,-0.39738018,-0.26881706,0.87739750,1187
SCM.BHZ.AK.--,61.8329,-147.3296,1039.00,-0.39944786,-0.25614965,0.88024358,1359
CAST.BHZ.AK.--,63.4188,-152.0844,611.00,-0.39753380,-0.21062192,0.89308750,669
SCRK.BHZ.AK.--,63.9761,-143.9905,1375.00,-0.35684623,-0.25935437,0.89743862,440
MLY.BHZ.AK.--,65.0304,-150.7442,812.00,-0.37033712,-0.20744800,0.90543677,429
PPD.BHZ.AK.--,65.5174,-145.5246,1505.00,-0.34354443,-0.23589443,0.90902752,338
SSN.BHZ.AK.--,61.4636,-150.7467,1306.00,-0.41896493,-0.23466333,0.87715535,499
GLB.BHZ.AK.--,61.4417,-143.8123,854.90,-0.38784019,-0.28372827,0.87697107,549
PMR.BHZ.AT.--,61.5922,-149.1308,100.00,-0.41048391,-0.24536995,0.87823490,801
SMY.BHZ.AT.--,57.0569,-135.3244,19.00,-0.38853763,-0.38416267,0.83753063,2
SIT.BHZ.AT.--,57.0569,-135.3244,19.00,-0.38853763,-0.38416267,0.83753063,138
OHAK.BHZ.AT.--,57.2225,-153.2875,77.50,-0.48590561,-0.24451790,0.83911068,205
MID.BHZ.AT.--,59.4278,-146.3388,37.00,-0.42546116,-0.28333124,0.85948020,10364
MENT.BHZ.AT.--,62.9380,-143.7194,702.00,-0.36871567,-0.27065623,0.88926597,2478
