time;latitude;longitude;depth;mag;dmin;rms;place
2015-08-14T19:13:06.320Z;14.8071;147.1051;10.0;4.8;2.5;0.9;152km ESE of Saipan, Northern Mariana Islands
2015-08-14T19:57:06.700Z;19.3764;-65.3691;78.0;3.2;1.1;0.15;116km NNE of Vieques, Puerto Rico
2015-08-14T20:34:14.800Z;36.1423;-97.5066;5.0;2.8;;0.6;22km NNE of Crescent, Oklahoma
2015-08-14T20:55:33.000Z;51.9097;-174.5896;78.5;2.6;;0.32;41km SW of Atka, Alaska
2015-08-14T21:02:25.360Z;22.0924;144.5499;105.4;4.0;14.9;0.51;175km NNW of Farallon de Pajaros, Northern Mariana Islands
2015-08-14T21:06:10.800Z;36.8195;-97.7102;4.6;2.9;;0.51;2km ENE of Medford, Oklahoma
2015-08-14T21:25:40.600Z;36.8311;-97.8011;0.1;4.1;;1.01;6km WNW of Medford, Oklahoma
2015-08-14T21:29:54.800Z;36.8319;-97.8050;1.1;2.9;;1.11;6km WNW of Medford, Oklahoma
2015-08-14T22:03:34.560Z;-6.8732;131.3416;35.0;5.1;1.1;1.16;119km N of Saumlaki, Indonesia
2015-08-14T22:04:24.810Z;-26.3324;-177.8347;165.5;5.1;2.9;0.79;South of the Fiji Islands
2015-08-14T22:25:28.020Z;13.9740;144.9270;147.7;4.7;0.4;0.62;35km SW of Rota, Northern Mariana Islands
2015-08-14T22:25:35.490Z;-6.1815;155.4904;57.0;4.9;3.9;0.62;6km NW of Arawa, Papua New Guinea
2015-08-14T22:29:18.650Z;-9.3606;157.9895;10.0;4.5;1.9;0.85;184km SW of Dadali, Solomon Islands
2015-08-14T22:30:59.010Z;-23.0666;-178.7234;579.0;4.3;6.1;0.51;267km S of Ndoi Island, Fiji
2015-08-14T22:38:52.600Z;19.1935;-66.2693;107.0;3.0;0.8;0.21;80km N of Brenas, Puerto Rico
2015-08-14T23:06:10.727Z;41.9115;-119.6212;9.4;2.6;0.1;0.1444;67km ESE of Lakeview, Oregon
2015-08-14T23:24:02.350Z;-27.1672;-176.1626;10.0;4.9;2.6;0.78;288km NE of Raoul Island, New Zealand
2015-08-14T23:28:08.000Z;18.6728;-64.9880;27.0;2.6;0.3;0.07;37km N of Charlotte Amalie, U.S. Virgin Islands
2015-08-14T23:29:54.000Z;52.0416;-169.3202;37.5;2.6;;0.93;104km SSW of Nikolski, Alaska
2015-08-14T23:41:39.460Z;38.9634;140.5150;139.1;4.0;1.1;1.45;22km S of Yuzawa, Japan
2015-08-14T23:53:31.770Z;-21.7769;170.1449;71.9;4.9;2.0;0.82;208km WNW of Ile Hunter, New Caledonia
