HUIDEVENT;DLAT;DLON;DDEPTH;TORIGIN;IGAP;DRMS;DDMIN;NPH;DPREFMAG
1000329X;-27.076401;-176.005997;10;1439559792.78;42;0.94;305.45;93;5.202
1000326M;42.6544;143.176193;87.51;1439527424.8;58;0.83;71.05;673;5.178
1000328V;21.1441;-45.786598;10;1439547065.39;54;0.74;1721.63;543;5.039
100032A0;-26.0837;-177.0979;99.12;1439561357.11;51;1.25;359.6;186;5.212
1000329U;-27.307301;-176.048996;10.37;1439558880.43;71;0.94;282.88;133;5.7
100032F6;-26.332399;-177.834702;165.5;1439589864.81;49;0.79;322.69;322;5.124
100032EX;-6.8732;131.341599;35;1439589814.56;36;1.16;122.65;252;5.1
100032BG;21.103901;-45.8517;10;1439575382.78;41;0.83;1701.06;718;5.5
100036B2;-31.233601;-178.349503;11.22;1439522883.76;168;0.48;224.06;14;4.323
100036B4;33.826099;89.053703;10;1439525900.58;81;0.91;497.37;41;4.286
100034U4;52.1586;-175.447601;137.4;1439513538;176;0.79;0;12;2.5
100036AZ;-33.084202;-177.065796;10;1439512977.02;197;0.53;433.44;18;4.388
10003265;59.9977;-152.689896;87.6;1439512683;0;0.67;0;208;3.6
1000326C;41.8829;-119.624702;9.79;1439517689.13;100;0.41;16.12;27;2.6
100032E1;36.405201;-98.148598;7.004;1439522362.7;96;0.56;0;43;2.6
100034UE;52.190102;-169.491592;66;1439520232;291;0.42;0;9;2.5
1000326K;39.891998;-76.407997;1.3;1439518581;0;0.83;0;15;1.5
100034UF;52.063;-169.2995;54.8;1439520316;291;0.82;0;10;2.6
1000326Q;36.435699;-121.012001;7.22;1439532480.44;53;0.53;1.38;56;2.96
100036B0;-25.4498;154.324097;10;1439514415.34;73;1.07;326.13;30;4.268
10003268;33.4007;141.125397;33.01;1439515428.72;105;0.83;126.21;112;4.56
1000326N;34.212399;26.2411;19.6;1439527618.62;114;1.08;100.08;51;4.209
1000326T;41.884102;-119.6241;9.484;1439533937.73;131;0.8;16.01;58;3.49
1000327P;19.136299;-67.619301;29.12;1439531799.87;274;0.6;92.3;6;2.53
1000326Y;28.342899;127.650299;179.75;1439534034.58;80;0.63;177.8;102;4.809
10003271;41.282101;-127.104301;10;1439534491.9;207;1.04;260.75;65;4.396
1000329S;18.8132;-67.995003;24.25;1439536825.05;332;0.51;72.91;18;2.88
1000326L;41.8713;-119.617897;10.516;1439526927.65;123;0.71;17.23;125;3.44
1000329T;19.1035;-67.824699;37.35;1439536664.78;327;0.44;104.02;24;2.98
100036B6;41.3829;-126.607803;10.29;1439536876.85;210;0.68;218.39;18;2.412
100036B9;-52.3559;16.8913;10;1439543079.31;65;0.87;2242.36;16;4.65
1000327F;40.751301;-74.551697;3.5;1439538084.53;0;0.73;0;95;2.73
1000327Q;19.018801;-65.187698;15.27;1439534633.21;264;0.28;80.19;8;2.69
100034TN;52.089199;175.714005;41.5;1439543328;0;0.75;0;12;2.5
100036BJ;28.301001;141.3647;57.42;1439548574.48;119;0.41;156.01;18;4.56
100036BB;-52.630299;17.1294;10;1439544713.94;86;0.77;2269.93;13;4.568
100032QP;35.705002;-97.494797;7.37;1439548479.54;42;0.3;10.79;40;2.345
100036BD;-9.1965;157.895294;14.88;1439555206;115;0.36;226.73;10;4.173
100036BH;21.1549;-45.837898;10;1439547176.61;71;1.06;2153.73;89;4.749
1000329M;-4.9539;140.172699;35;1439555495.96;29;0.85;860.54;149;4.967
100036BF;27.569099;86.085999;10;1439557346.29;144;1.04;77.61;18;4.616
10003294;-3.7479;138.214905;85.69;1439549877.07;121;0.87;668.5;37;4.332
100034U6;58.98;-138.070007;10;1439549495.74;0;0.49;0;20;2.5
100036BE;38.990799;142.062393;56.38;1439554397.98;155;0.87;166.9;37;4.481
100036BG;1.6504;96.958099;29.63;1439563224.42;192;1.18;78.5;19;4.528
100034UM;53.738701;173.065399;2.2;1439565421;0;0.34;0;17;3.4
1000328U;-58.971901;-25.694201;10;1439545023.23;52;0.92;842.75;110;4.931
100036BN;-8.0965;104.148903;30.48;1439561056.89;282;0.94;310.79;18;4.51
100036BQ;21.381201;143.884705;22.75;1439566544.35;123;0.83;867.88;28;4.424
100032A9;34.077499;26.218901;19.25;1439565654.93;101;1.14;181.25;52;4.389
100036BI;15.2645;146.216705;59.77;1439567016.64;72;0.78;235.29;18;4.378
1000329W;34.6642;73.311096;29.17;1439560110.21;82;0.92;112.42;42;4.546
100036BL;-24.6796;179.841797;510.9;1439572895.9;118;0.75;789.37;26;4.224
100034TR;52.070301;-171.545502;58.6;1439575583;208;0.53;0;16;2.5
100032EP;36.1423;-97.506599;5;1439584454.8;96;0.6;0;78;2.8
100032A5;-18.048901;-178.027603;576.01;1439563756.8;87;1.36;416.31;148;4.598
100034U8;51.5215;-179.493607;58.9;1439569446;179;0.34;0;22;2.7
100032CY;14.8071;147.105103;10;1439579586.32;77;0.9;276.21;126;4.808
100036BM;1.5021;92.306702;28.74;1439573690.5;177;0.36;586.11;13;4.082
100032EQ;36.8195;-97.710197;4.591;1439586370.8;54;0.51;0;58;2.9
100032FE;13.974;144.927002;147.73;1439591128.02;59;0.62;42.92;115;4.716
100032WB;36.831902;-97.805;1.143;1439587794.8;43;1.11;0;34;2.9
100036BR;22.0924;144.549896;105.37;1439586145.36;85;0.51;1652.02;24;4.03
100032J2;18.6728;-64.988197;27.13;1439594888.05;222;0.88;36.15;12;2.57
100034TS;51.909698;-174.5896;78.5;1439585733;226;0.32;0;23;2.61
100032FF;-6.1815;155.490402;56.99;1439591135.49;138;0.62;428.99;54;4.92
100036BT;-9.3606;157.989502;10;1439591358.65;104;0.85;214.94;15;4.475
100032GD;19.193701;-66.269302;107.61;1439591932.61;257;0.45;84.73;26;3.03
100032FZ;-27.1672;-176.162598;10;1439594642.35;54;0.78;288.11;107;4.878
100032FW;41.911499;-119.621201;9.45;1439593570.73;130;0.79;15.01;37;2.64
100036BS;-23.066601;-178.723404;578.95;1439591459.01;106;0.51;677.84;25;4.304
100036BV;38.963402;140.514999;139.05;1439595699.46;121;1.45;123.76;46;4
100034TT;52.041599;-169.320206;37.5;1439594994;230;0.93;0;30;2.61
100032GG;-21.776899;170.144897;71.91;1439596411.77;64;0.82;221.17;101;4.855
100032EI;36.8311;-97.801102;0.091;1439587540.6;43;1.01;0;443;4.061
